Job,Job Link,Company,Company Link,Salary Range,Contract Type
Data Analyst,https://www.fuzu.com/jobs/data-analyst-tulaa,Tulaa ,https://www.fuzu.com/company/tulaa,Confidential,Permanent
UI /UX Designer,https://www.fuzu.com/jobs/ui-ux-designer-zeraki-learning,Zeraki Learning,https://www.fuzu.com/company/zeraki-learning,Confidential,Permanent
Mid to Senior Android Developer,https://www.fuzu.com/jobs/mid-to-senior-android-developer-ictlife,ICTLife,https://www.fuzu.com/company/ictlife,Confidential,Permanent
Technical Project Manager,https://www.fuzu.com/jobs/technical-project-manager-nft-consult,NFT Consult,https://www.fuzu.com/company/nft-consult,Confidential,Permanent
QSSK-LTK-HOF Head of Finance Operations,https://www.fuzu.com/jobs/qssk-ltk-hof-head-of-finance-operations-q-sourcing-limited,Q-sourcing Limited,https://www.fuzu.com/company/q-sourcing-limited,Confidential,Permanent
Senior Manager IT Applications & Asset Management,https://www.fuzu.com/jobs/senior-manager-it-applications-asset-management-kcb-group,KCB Group,https://www.fuzu.com/company/kcb-group,Confidential,Permanent
IT Asset Management Analyst,https://www.fuzu.com/jobs/it-asset-management-analyst-kcb-group,KCB Group,https://www.fuzu.com/company/kcb-group,Confidential,Permanent
Intern - Graphic Designer,https://www.fuzu.com/jobs/intern-graphic-designer-e254-group,E254 Group,https://www.fuzu.com/company/e254-group,Confidential,Permanent
Software Engineer,https://www.fuzu.com/jobs/software-engineer-safaricom-2c06f0dd,SAFARICOM,https://www.fuzu.com/company/safaricom,Confidential,Permanent
Database Administrator,https://www.fuzu.com/jobs/database-administrator-safaricom-18404349,SAFARICOM,https://www.fuzu.com/company/safaricom,Confidential,Permanent
"Startups Development Manager Internship in Nairobi, Kenya",https://www.fuzu.com/jobs/startups-development-manager-internship-in-nairobi-kenya-microsoft,Interns4Afrika,https://www.fuzu.com/company/microsoft,Confidential,Temporary
Software Engineer Position,https://www.fuzu.com/jobs/software-engineer-position-career-directions-ltd,Career Directions Ltd,https://www.fuzu.com/company/career-directions-ltd,Confidential,Permanent
Systems Administrator,https://www.fuzu.com/jobs/systems-administrator-central-depository-and-settlement-corporation-limited,Central Depository and Settlement Corporation Limited,https://www.fuzu.com/company/central-depository-and-settlement-corporation-limited,Confidential,Temporary
Systems Administrator,https://www.fuzu.com/jobs/systems-administrator-central-depository-and-settlement-corporation-limited-5d263572,Central Depository and Settlement Corporation Limited,https://www.fuzu.com/company/central-depository-and-settlement-corporation-limited,Confidential,Permanent
Integration Specialist,https://www.fuzu.com/jobs/integration-specialist-abc-bank,CBA Bank,https://www.fuzu.com/company/abc-bank,Confidential,Permanent
Application Developer,https://www.fuzu.com/jobs/application-developer-abc-bank,CBA Bank,https://www.fuzu.com/company/abc-bank,Confidential,Permanent
Onsite Merchandiser,https://www.fuzu.com/jobs/onsite-merchandiser-jumia-kenya,JUMIA KENYA,https://www.fuzu.com/company/jumia-kenya,Confidential,Permanent
Software Developer,https://www.fuzu.com/jobs/software-developer-kava-2fe0b20f,KAVA AFRICA,https://www.fuzu.com/company/kava,Confidential,Permanent
"Manager, ICT & Smart City Solutions",https://www.fuzu.com/jobs/manager-ict-smart-city-solutions-konza-technopolis-4d9f0fec,Konza Technopolis,https://www.fuzu.com/company/konza-technopolis,Confidential,Permanent
UK-Kenya Tech Hub Operations Manager,https://www.fuzu.com/jobs/uk-kenya-tech-hub-operations-manager-british-high-commission-nairobi,British High Commission Nairobi,https://www.fuzu.com/company/british-high-commission-nairobi,Confidential,Fixed term
Mid to Senior Android Developer,https://www.fuzu.com/jobs/mid-to-senior-android-developer-ictlife,ICTLife,https://www.fuzu.com/company/ictlife,Confidential,Permanent
Pharmaceutical Technologist,https://www.fuzu.com/jobs/pharmaceutical-technologist-base-pharmaceuticals,Base Pharmaceuticals,https://www.fuzu.com/company/base-pharmaceuticals,Confidential,Permanent
Internship,https://www.fuzu.com/jobs/internship-kkco-east-africa,KKCO East Africa ,https://www.fuzu.com/company/kkco-east-africa,Confidential,Temporary
"Director, Health Research and Development,",https://www.fuzu.com/jobs/director-health-research-and-development-hjf-medical-research-international-inc,HJF Medical Research International Inc.,https://www.fuzu.com/company/hjf-medical-research-international-inc,Confidential,Permanent
Clinical Operations Lead,https://www.fuzu.com/jobs/clinical-operations-lead-aga-khan-university,Aga Khan University,https://www.fuzu.com/company/aga-khan-university,Confidential,Permanent
Software Sales Executive,https://www.fuzu.com/jobs/software-sales-executive-summit-recruitment-search,Summit Recruitment & Search,https://www.fuzu.com/company/summit-recruitment-search,Confidential,Permanent
Area Manager - Marakwet East & West,https://www.fuzu.com/jobs/area-manager-marakwet-east-west-tulaa,Tulaa ,https://www.fuzu.com/company/tulaa,Confidential,Permanent
Area Manager - Kuresoi North & South,https://www.fuzu.com/jobs/area-manager-kuresoi-north-south-tulaa,Tulaa ,https://www.fuzu.com/company/tulaa,Confidential,Permanent
Area Manager - Njoro,https://www.fuzu.com/jobs/area-manager-njoro-tulaa,Tulaa ,https://www.fuzu.com/company/tulaa,Confidential,Permanent
Area Manager - Keiyo South,https://www.fuzu.com/jobs/area-manager-keiyo-south-tulaa,Tulaa ,https://www.fuzu.com/company/tulaa,Confidential,Permanent
Area Manager - Kinangop,https://www.fuzu.com/jobs/area-manager-kinangop-tulaa,Tulaa ,https://www.fuzu.com/company/tulaa,Confidential,Permanent
Area Manager - Ol Kalou,https://www.fuzu.com/jobs/area-manager-ol-kalou-tulaa,Tulaa ,https://www.fuzu.com/company/tulaa,Confidential,Permanent
Area Manager - Molo,https://www.fuzu.com/jobs/area-manager-molo-tulaa,Tulaa ,https://www.fuzu.com/company/tulaa,Confidential,Permanent
Area Manager - Narok North,https://www.fuzu.com/jobs/area-manager-narok-north-tulaa,Tulaa ,https://www.fuzu.com/company/tulaa,Confidential,Permanent
Drivers - GRADE A.3,https://www.fuzu.com/jobs/drivers-grade-a-3-kenya-utalii-college-kuc,Kenya Utalii College (KUC),https://www.fuzu.com/company/kenya-utalii-college-kuc,Confidential,Permanent
Area Manager - Central Imenti,https://www.fuzu.com/jobs/area-manager-central-imenti-tulaa,Tulaa ,https://www.fuzu.com/company/tulaa,Confidential,Permanent
Area Manager - Ol Jorok,https://www.fuzu.com/jobs/area-manager-ol-jorok-tulaa,Tulaa ,https://www.fuzu.com/company/tulaa,Confidential,Permanent
